3C,MANGUERAS "TRICOLOR"
606,CANDADOS 606/PERITA
AA,DOBLE «A»
ACN,ACINDAR
ALM,ALEMITES
ARA,ARANDELAS
ATL,ALLEN TELLEP
BAG,BULONES AGRICOLAS
BCR,BULON CABEZA REDONDA
BG2,BULON G-2
BGR,BULONES DE GRADO
BLL,BELLOTA
BLR,BELARRA
BLT,TORNILLOS
BPM,BULONES PARA MUEBLES
BRB,BARBERO
BSH,BORDEADORAS SCHAFER
BSS,BIASSONI
BVN,BOVENAU
CDA,CABLES DE ACERO
CDN,CADENAS
CFE,CABOS/FRATACHOS/ESCA
CHV,CHAVETAS
CLP,ABRAZADERAS
CRB,CARBURO
CYC,CASCOS Y CARETAS
DLB,DELBRE
ELC,ELECTRODOS
FSH,FISCHER
FYG,FOREST & GARDEN
GDR,GEDORE
GDT,GANCHOS DE TECHO
GHR,GHERARDI
GNT,GUANTES
IYP,IREGA Y PERROTA
KMN,KEMEN
MEZ,MECHAS EZETA
MKT,MAKITA
MST,MUSITANI
MTB,MATABI
MTM,MOTORMECH
MUR,MACHOS URANGA
NEO,NEO
NUT,TUERCAS
OUT,DISCONTINUADOS
PRS,PRISIONEROS
RCH,REMACHES
RPA,ERPA
SEL,PRECINTOS
SHZ,SCHULZ
SKT,SKOTNICA
SLK,SALKOR
SNP,SIN PAR
THU,TIJERAS HUALA
TRF,TIRAFONDO
TX9,TERMINALES X-9
TYR,DISCOS TYROLIT
VLC,VULCANO
VR,VARILLAS ROSCADAS
W40,WD-40
